,,,,,,,,,M-F,,,,,,,,,,,,,Orlando City SC,Kljestan,Sacha,"$1,025,000.04 )","$1,100,000.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,New England Revolution,Knighton,Brad,"$111,253.32 )","$116,253.32 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M,,,,,,,,,,,,,New York Red Bulls,Koffi,Jean-Christophe,"$70,250.04 )","$76,031.29 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M,,,,,,,,,,,,,Atlanta United,Kratz,Kevin,"$210,000.00 )","$222,750.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M,,,,,,,,,,,,,Real Salt Lake,Kreilach,Damir,"$968,768.64 )","$1,082,101.97 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,F,,,,,,,,,,,,,Montreal Impact,Krkic,Bojan,"$1,232,876.64 )","$1,532,448.56 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,Montreal Impact,Krolicki,Ken,"$59,950.08 )","$59,950.08 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,Chicago Fire,Kronholm,Kenneth,"$87,996.00 )","$150,996.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,Atlanta United,Kunga,Lagos,"$70,250.04 )","$73,250.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D-M,,,,,,,,,,,,,Sporting Kansas City,Kuzain,Wan,"$70,875.00 )","$70,875.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,New York Red Bulls,Lade,Connor,"$126,000.00 )","$132,749.85 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,FC Cincinnati,Lamah,Roland,"$750,000.00 )","$806,250.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,LA Galaxy,Lampson,Matt,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,F,,,,,,,,,,,,,Nashville SC,Lancaster,Cameron,"$70,250.04 )","$78,065.67 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,F,,,,,,,,,,,,,Portland Timbers,Langsdorf,Foster,"$57,225.00 )","$57,225.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,Montreal Impact,Lappalainen,Lassi,"$302,574.00 )","$302,574.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D-M,,,,,,,,,,,,,Atlanta United,Larentowicz,Jeff,"$210,000.00 )","$210,000.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D-M,,,,,,,,,,,,,Toronto FC,Laryea,Richie,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,FC Cincinnati,Lasso,Forrest,"$70,250.04 )","$77,583.37 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,New York Red Bulls,Lawrence,Kemar,"$339,999.96 )","$382,749.96 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,FC Cincinnati,Ledesma,Emmanuel,"$249,999.96 )","$280,833.29 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Seattle Sounders FC,Leerdam,Kelvin,"$549,999.96 )","$599,999.96 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Real Salt Lake,Lennon,Brooks,"$230,004.00 )","$242,587.33 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D-M,,,,,,,,,,,,,Vancouver Whitecaps,Levis,Brett,"$71,662.56 )","$74,162.56 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,Colorado Rapids,Lewis,Jonathan,"$100,000.08 )","$137,500.08 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D-M,,,,,,,,,,,,,Seattle Sounders FC,Leyva,Danny,"$56,250.00 )","$89,872.25 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Chicago Fire,Lillard,Grant,"$95,000.04 )","$97,500.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,San Jose Earthquakes,Lima,Nick,"$200,000.04 )","$218,437.54 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D-M,,,,,,,,,,,,,Orlando City SC,Lindley,Cam,"$90,000.00 )","$98,906.25 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Sporting Kansas City,Lindsey,Jaylin,"$75,000.00 )","$88,000.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M,,,,,,,,,,,,,LA Galaxy,Lletget,Sebastian,"$300,000.00 )","$312,666.67 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M,,,,,,,,,,,,,Minnesota United,Lod,Robin,"$849,996.00 )","$952,496.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,Seattle Sounders FC,Lodeiro,Nicolas,"$2,000,000.04 )","$2,502,500.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,New York Red Bulls,Long,Aaron,"$770,000.04 )","$800,000.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,San Jose Earthquakes,Lopez,Marcos,"$279,999.96 )","$387,749.96 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,Portland Timbers,Loría,Marvin,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,New York Red Bulls,Louro,Evan,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Montreal Impact,Lovitz,Daniel,"$97,453.08 )","$97,453.08 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D-M,,,,,,,,,,,,,Real Salt Lake,Luiz,Everton,"$1,000,000.08 )","$1,100,000.08 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,Columbus Crew,Lundgaard,Ben,"$57,225.00 )","$57,225.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Houston Dynamo,Lundkvist,Adam,"$274,999.92 )","$303,749.92 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,FC Cincinnati,Lundt,Ben,"$56,250.00 )","$59,658.75 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,Major League Soccer,Lyon,Charlie,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Portland Timbers,Mabiala,Larrys,"$750,000.00 )","$793,333.33 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,New York City FC,Mackay-Steven,Gary,"$260,000.04 )","$274,833.37 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,Vancouver Whitecaps,MacMath,Zac,"$189,999.96 )","$189,999.96 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Columbus Crew,Maloney,Connor,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,New England Revolution,Mancienne,Michael,"$881,676.00 )","$995,676.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Minnesota United,Manley,Carter,"$57,225.00 )","$57,225.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,FC Cincinnati,Manneh,Kekuta,"$375,000.00 )","$391,666.67 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,Minnesota United,Mannone,Vito,"$540,000.00 )","$594,000.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,F,,,,,,,,,,,,,Houston Dynamo,Manotas,Mauro,"$1,100,049.96 )","$1,245,049.96 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,San Jose Earthquakes,Marcinkowski,JT,"$135,000.00 )","$147,000.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota United,Martin,Collin,M-F,"$105,000.00 )","$105,000.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta United,Martinez,Josef,F,"$3,000,000.00 )","$3,058,333.33 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta United,Martinez,Pity,M-F,"$900,000.00 )","$900,000.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Fire,Martinez,Cristian,M,"$80,000.04 )","$88,406.71 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston Dynamo,Martinez,Tomas,M-F,"$335,004.00 )","$517,929.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Salt Lake,Martinez,Doug,F,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DC United,Martins,Felipe,M,"$500,000.04 )","$500,000.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sporting Kansas City,Martins,Luis,D,"$240,000.00 )","$240,000.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New York City FC,Matarrita,Ronald,D,"$300,000.00 )","$420,000.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Cincinnati,Mattocks,Darren,F,"$519,999.96 )","$519,999.96 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Dallas,Maurer,Jimmy,GK,"$125,000.04 )","$127,500.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto FC,Mavinga,Chris,D,"$600,000.00 )","$663,333.33 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Union,Mbaizo,Olivier,D,"$70,875.00 )","$70,875.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Cincinnati,McCabe,Tommy,D-M,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Fire,McCarty,Dax,M,"$700,000.08 )","$700,000.08 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston Dynamo,McCue,Erik,D,"$56,250.00 )","$76,250.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vancouver Whitecaps,McDonough,Brendan,D,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Timbers,McIntosh,Kendall,GK,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Union,McKenzie,Mark,D,"$72,225.00 )","$82,225.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Cincinnati,McLaughlin,Jimmy,M,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston Dynamo,McNamara,Thomas,M-F,"$165,000.00 )","$165,000.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Red Bulls,Meara,Ryan,GK,"$132,000.00 )","$137,000.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New York City FC,Medina,Jesus,M-F,"$750,000.00 )","$870,833.33 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sporting Kansas City,Medranda,Jimmy,D-M,"$155,004.00 )","$155,004.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Union,Medunjanin,Haris,M,"$550,008.00 )","$595,008.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Montreal Impact,Meilleure-Giguere,Thomas,D,"$57,120.00 )","$60,245.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sporting Kansas City,Melia,Tim,GK,"$325,008.00 )","$341,674.67 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vancouver Whitecaps,Melvin,Sean,GK,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando City SC,Méndez,Jhegson Sebastián,D-M,"$450,000.00 )","$486,750.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbus Crew,Mensah,Jonathan,D,"$800,004.00 )","$894,004.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta United,Meram,Justin,M-F,"$650,004.00 )","$678,754.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle Sounders FC,Meredith,Bryan,GK,"$70,875.00 )","$70,875.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota United,Metanire,Romain,D,"$305,000.04 )","$411,833.37 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado Rapids,Mezquida,Nicolas,F,"$320,000.04 )","$320,000.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando City SC,Michel,Benji,F,"$84,999.96 )","$116,249.96 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Fire,Mihailovic,Djordje,M-F,"$111,000.00 )","$114,600.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LAFC,Miller,Tyler,GK,"$77,565.00 )","$77,565.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New York City FC,Miller,Eric,D,"$108,549.96 )","$124,424.96 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando City SC,Miller,Kamal,D,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Red Bulls,Mines,Ben,M-F,"$57,229.20 )","$63,243.20 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New York City FC,Mitrita,Alexandru,M-F,"$500,000.04 )","$500,000.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New England Revolution,Mlinar Delamea,Antonio,D,"$425,004.00 )","$425,004.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New York City FC,Mohamed,Abdi,D,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota United,Moimbe,Wilfried,D,"$252,000.00 )","$274,275.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbus Crew,Mokhtar,Youness,M-F,"$459,996.00 )","$533,845.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota United,Molino,Kevin,M-F,"$500,004.00 )","$546,254.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Union,Monteiro,Jamiro,M,"$618,000.00 )","$671,200.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vancouver Whitecaps,Montero,Fredy,F,"$768,000.00 )","$968,000.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Dallas,Montgomery,Callum,D,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto FC,Moor,Drew,D,"$375,000.00 )","$375,000.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta United,Moore,Brendan,GK,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DC United,Mora,Joseph,D,"$150,000.00 )","$164,250.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New York City FC,Moralez,Maxi,M-F,"$2,000,000.04 )","$2,000,000.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Timbers,Moreira,Jorge,D,"$545,454.60 )","$607,954.60 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Fire,Moreno,Amando,M-F,"$70,250.04 )","$72,750.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DC United,Moreno,Junior,D-M,"$140,000.04 )","$159,500.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto FC,Morgan,Ashtone,D,"$132,000.00 )","$133,500.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle Sounders FC,Morris,Jordan,F,"$499,500.00 )","$619,600.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto FC,Morrow,Justin,D,"$330,000.00 )","$330,000.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Dallas,Mosquera,Santiago,M-F,"$500,000.04 )","$591,400.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando City SC,Moutinho,Joao,D,"$139,999.92 )","$202,999.92 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Major League Soccer,Movsisyan,Yura,F,"$2,049,999.96 )","$2,273,749.96 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando City SC,Mueller,Chris,M-F,"$95,625.00 )","$109,375.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vancouver Whitecaps,Mukumbilwa,Georges,D-M,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Salt Lake,Mulholland,Luke,M,"$155,000.04 )","$155,000.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto FC,Mullins,Patrick,F,"$260,004.00 )","$260,004.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Red Bulls,Murillo,Michael,D,"$105,003.96 )","$113,753.96 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle Sounders FC,Muse,Trey,GK,"$56,250.00 )","$65,000.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Red Bulls,Muyl,Alex,M-F,"$123,750.00 )","$127,750.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Cincinnati,N'dam,Hassan,D,"$70,260.00 )","$70,260.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta United,Nagbe,Darlington,M,"$665,499.96 )","$665,499.96 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando City SC,Nani,,M-F,"$2,333,333.04 )","$2,486,249.70 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta United,Nascimento,Luiz Fernando,F,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Red Bulls,Nealis,Sean,D,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Dallas,Nelson,John,D,"$80,000.04 )","$113,000.04 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston Dynamo,Nelson,Michael,GK,"$57,225.00 )","$57,225.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sporting Kansas City,Nemeth,Krisztian,F,"$950,000.04 )","$1,063,666.71 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vancouver Whitecaps,Nerwinski,Jake,D,"$120,000.00 )","$124,125.00 )",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAFC,Nguyen,Lee,M,"$525,000.00 )","$530,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado Rapids,Nicholson,Sam,M-F,"$300,000.00 )","$342,073.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Fire,Nikolic,Nemanja,F,"$1,700,000.04 )","$1,913,333.37 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vancouver Whitecaps,Norman,David,M,"$57,225.00 )","$58,225.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando City SC,O'Neill,Shane,D,"$124,999.92 )","$139,499.92 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle Sounders FC,Ocampo-Chavez,Alfonso,F,"$56,250.00 )","$85,750.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Salt Lake,Ochoa,David,GK,"$70,250.04 )","$70,250.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Jose Earthquakes,Ockford,Jimmy,D,"$70,875.00 )","$70,875.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC United,Odoi-Atsem,Chris,D,"$56,250.00 )","$56,250.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York City FC,Ofori,Ebenezer,D-M,"$324,999.96 )","$399,999.96 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto FC,Okello,Noble,M,"$56,244.60 )","$68,059.51 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta United,Okonkwo,Patrick,F,"$56,256.00 )","$67,256.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montreal Impact,Okwonkwo,Orji,M-F,"$200,000.04 )","$220,000.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota United,Olum,Lawrence,D,"$70,250.04 )","$70,250.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota United,Omsberg,Wyatt,D,"$57,225.00 )","$57,225.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Dallas,Ondrasek,Zdenek,F,"$400,000.08 )","$522,250.08 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Salt Lake,Onuoha,Nedum,D,"$450,000.00 )","$504,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota United,Opara,Ike,D,"$350,000.04 )","$367,916.71 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado Rapids,Opare,Kofi,D,"$70,250.04 )","$70,250.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbus Crew,Opoku,Edward,F,"$84,999.96 )","$105,999.96 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto FC,Osorio,Jonathan,M,"$750,000.00 )","$776,250.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Fire,Ousted,David,GK,"$268,181.88 )","$361,136.43 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAFC,Palacios,Diego,D,"$324,000.00 )","$348,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montreal Impact,Pantemis,James,GK,"$70,250.04 )","$70,250.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Timbers,Paredes,Cristhian,M,"$252,000.00 )","$283,500.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Red Bulls,Parker,Tim,D,"$738,200.04 )","$752,200.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta United,Parkhurst,Michael,D,"$300,000.00 )","$300,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York City FC,Parks,Keaton,D-M,"$150,000.00 )","$165,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Jose Earthquakes,Partida,Kevin,M,"$57,225.00 )","$57,225.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando City SC,Patino,Santiago,F,"$72,500.04 )","$76,781.29 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto FC,Patterson-Sewell,Caleb,GK,"$70,875.00 )","$70,875.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA Galaxy,Pavon,Cristian,F,"$1,200,000.00 )","$1,200,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA Galaxy,Pedro,Joao,M,"$240,000.00 )","$261,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC United,Pedroso,Marcos,D,"$375,000.00 )","$375,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inter Miami,Pellegrini,Matias,M-F,"$75,000.00 )","$170,833.33 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston Dynamo,Pena,Ronaldo,F,"$249,999.96 )","$249,999.96 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New England Revolution,Penilla,Cristian,M-F,"$500,000.04 )","$550,000.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Dallas,Pepi,Ricardo,F,"$80,000.04 )","$113,000.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta United,Pereira,Dion,M-F,"$56,250.00 )","$56,250.00 )",,,,,,,,,
